"Options.SECTION:[algernon.PlopTheGrowables]","Plop the Growables"
"Options.GROUP:SpawnedBuildings","Edificios no colocados"
"Options.OPTION:SpawnedZoneDespawn","Los edificios no colocados requieren zonificación"
"Options.OPTION_DESCRIPTION:SpawnedZoneDespawn","Si se selecciona esta opción entonces las edificaciones no colocadas (que se generan automáticamente) seguirán necesitando una zonificación normal. Si esta zonificación es removida o cambiada, entonces cualquier edificación no colocada que se vea afectada, será condenada para ser demolida."
"Options.GROUP:Locking","Bloqueo de nivel"
"Options.OPTION:LockPloppedBuildings","Bloquear niveles de construcción al colocar"
"Options.OPTION_DESCRIPTION:LockPloppedBuildings","Aplicar automáticamente el bloqueo de nivel a cualquier edificio que se coloque manualmente mientras este ajuste está activo."
"Options.OPTION:NoAbandonment","Deshabilitar abandono de edificio"
"Options.OPTION_DESCRIPTION:NoAbandonment","Evita que los edificios sean abandonados. Esto NO afecta a los edificios que ya están abandonados."
"Options.OPTION:DisableLevelling","Desactivar TODOS los cambios de nivel de edificio"
"Options.OPTION_DESCRIPTION:DisableLevelling","Evita que TODOS los edificios cambien de nivel, por lo tanto mantendrán su apariencia."
"Options.GROUP:ApplyToExisting","Aplicar a edificios existentes"
"Options.OPTION:LockAllBuildings","Bloquear niveles de edificio para todos los edificios existentes"
"Options.OPTION_DESCRIPTION:LockAllBuildings","Aplicar inmediatamente bloqueo de nivel a todos los edificios existentes. Esto NO afecta a los edificios que se coloquen luego de aplicar esta opción."
"Options.OPTION:UnlockAllBuildings","Desbloquear niveles de edificio para todos los edificios existentes"
"Options.OPTION_DESCRIPTION:UnlockAllBuildings","Elimina de manera inmediata el bloqueo de nivel a todos los edificios existentes. Esto NO afecta a los edificios que se coloquen luego de aplicar esta opción."
"Options.OPTION:RemoveAllAbandonment","Eliminar el abandono de todos los edificios existentes"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Elimina de manera inmediata el abandono de todos los edificios existentes. Esto NO afecta a los edificios que se coloquen luego de aplicar esta opción."
"PLOPTHEGROWABLES.LockLevel","Bloquear nivel de edificio"
"PLOPTHEGROWABLES_DESCRIPTION.LockLevel","Al activar esta opción, el edificio no cambiará de nivel, por lo tanto, mantendrá su apariencia."
