"Options.SECTION:[algernon.PlopTheGrowables]","Plop the Growables"
"Options.GROUP:SpawnedBuildings","Bâtiments non ploppés"
"Options.OPTION:SpawnedZoneDespawn","Le bâtiment non-ploppé nécessite un zonage"
"Options.OPTION_DESCRIPTION:SpawnedZoneDespawn","Si cette option est sélectionnée, les bâtiments non ploppés manuellement (générés naturellement) nécessiteront toujours un zonage normal. Si ce zonage est supprimé ou modifié, tous les bâtiments non placés manuellement concernés seront condamnés à la démolition."
"Options.GROUP:Historical","Rendre historique"
"Options.OPTION[MakePloppedHistorical]","Rendre les bâtiments ploppés historiques"
"Options.OPTION_DESCRIPTION[MakePloppedHistorical]","Rend automatiquement historique tout bâtiment growable placé manuellement (ploppé) lorsque ce paramètre est actif."
"Options.GROUP:ApplyToExisting","Appliquer aux bâtiments existants"
"Options.OPTION:AllBuildingsHistorical","Rendre tous les bâtiments existants historiques"
"Options.OPTION_DESCRIPTION:AllBuildingsHistorical","Rendre immédiatement historiques tous les bâtiments growables existants. Cela n’affecte PAS les bâtiments placés ou ayant spawné après l’activation de ce bouton."
"Options.OPTION:RemoveAllHistorical","Rendre non historiques tous les bâtiments existants"
"Options.OPTION_DESCRIPTION:RemoveAllHistorical","Rendre immédiatement non historiques tous les bâtiments growables existants. Cela n’affecte PAS les bâtiments placés ou ayant spawné après l’activation de ce bouton."
"Options.OPTION:RemoveAllAbandonment","Supprimer l’abandon de tous les bâtiments existants"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Supprimer immédiatement l’abandon de tous les bâtiments existants. Cela n’affecte PAS les bâtiments ploppés manuellement ou apparus via zonage après avoir appuyé sur ce bouton."
