"Options.SECTION:[algernon.PlopTheGrowables]","Plop the Growables"
"Options.GROUP:SpawnedBuildings","Niet geplopte gebouwen"
"Options.OPTION:SpawnedZoneDespawn","Niet geplopte gebouwen hebben zones nodig"
"Options.OPTION_DESCRIPTION:SpawnedZoneDespawn","Als deze optie is geselecteerd, blijven niet geplopte (door spel geplaatste) uitbreidbare gebouwen normale zones vereisen. Als deze zone wordt verwijderd of aangepast, worden alle betrokken niet geplopte gebouwen bestemd voor sloop."
"Options.GROUP:Historical","Make historical"
"Options.OPTION[MakePloppedHistorical]","Make buildings historical when plopped"
"Options.OPTION_DESCRIPTION[MakePloppedHistorical]","Automatically make historical any growable building that is manually placed (plopped) while this setting is active."
"Options.GROUP:ApplyToExisting","Pas toe op alle bestaande gebouwen"
"Options.OPTION:AllBuildingsHistorical","Make all existing buildings historical"
"Options.OPTION_DESCRIPTION:AllBuildingsHistorical","Immediately make all existing growable buildings historical.  This does NOT affect any buildings placed or spawned after this button is pressed."
"Options.OPTION:RemoveAllHistorical","Make all existing buildings non-historical"
"Options.OPTION_DESCRIPTION:RemoveAllHistorical","Immediately make all existing growable buildings non-historical.  This does NOT affect any buildings placed or spawned after this button is pressed."
"Options.OPTION:RemoveAllAbandonment","Verwijder leegstand van alle bestaande gebouwen"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Verwijder onmiddellijk de leegstand van alle bestaande uitbreidbare gebouwen. Dit heeft GEEN invloed op gebouwen die worden geplaatst of verschijnen nadat deze knop is ingedrukt."
