"Options.SECTION:[algernon.PlopTheGrowables]","Plop the Growables"
"Options.GROUP:SpawnedBuildings","Budynki nieumieszczone przez gracza"
"Options.OPTION:SpawnedZoneDespawn","Budynki nieumieszczone przez gracza wymagają stref"
"Options.OPTION_DESCRIPTION:SpawnedZoneDespawn","Jeśli wybrane, budynki nieumieszczone przez gracza (naturalnie wygenerowane) będą wymagać stref do normalnego funkcjonowania. Jeżeli strefy zostaną usunięte lub zmienione, wszystkie nieumieszczone przez gracza budynki zostaną przeznaczone do rozbiórki."
"Options.GROUP:Locking","Blokowanie poziomu"
"Options.OPTION:LockPloppedBuildings","Zablokuj poziom budynku przy umieszczeniu"
"Options.OPTION_DESCRIPTION:LockPloppedBuildings","Jeśli to ustawienie jest aktywne, to automatycznie zablokuje poziom każdego umieszczonego ręcznie budynku (plopped)."
"Options.OPTION:NoAbandonment","Wyłącz porzucanie budynków"
"Options.OPTION_DESCRIPTION:NoAbandonment","Zapobiega porzucaniu budynków. NIE wpływa to na już porzucone budynki."
"Options.OPTION:DisableLevelling","Wyłącz zmiany poziomu wszystkich budynków"
"Options.OPTION_DESCRIPTION:DisableLevelling","Zapobiega zmianie poziomu wszystkich budynków, tak aby zachowały aktualny wygląd."
"Options.GROUP:ApplyToExisting","Zastosuj do istniejących budynków"
"Options.OPTION:LockAllBuildings","Zablokuj poziom wszystkich istniejących budynków"
"Options.OPTION_DESCRIPTION:LockAllBuildings","Natychmiast zablokuj poziom wszystkich istniejących budynków. NIE ma to wpływu na budynki postawione lub wygenerowane po kliknięciu tego przycisku."
"Options.OPTION:UnlockAllBuildings","Odblokuj poziom wszystkich istniejących budynków"
"Options.OPTION_DESCRIPTION:UnlockAllBuildings","Natychmiast odblokuj poziom wszystkich istniejących budynków. NIE ma to wpływu na budynki postawione lub wygenerowane po kliknięciu tego przycisku."
"Options.OPTION:RemoveAllAbandonment","Usuń porzucenie z wszystkich istniejących budynków"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Natychmiast usuń porzucenie z wszystkich istniejących budynków. NIE ma to wpływu na budynki postawione lub wygenerowane po kliknięciu tego przycisku."
"PLOPTHEGROWABLES.LockLevel","Zablokuj poziom budynku"
"PLOPTHEGROWABLES_DESCRIPTION.LockLevel","Jeśli wybrane, to budynek nie zmieni poziomu, przez co zachowa swój aktualny wygląd."
