"Options.SECTION:[algernon.PlopTheGrowables]","Colocar edifícios Autogerados"
"Options.GROUP:SpawnedBuildings","Edifícios não colocados manualmente"
"Options.OPTION:SpawnedZoneDespawn","Edifícios não colocados manualmente exigem zoneamento"
"Options.OPTION_DESCRIPTION:SpawnedZoneDespawn","Se esta opção estiver ativada, então edifícios ‘Autogerados’ não colocados manualmente (ou seja, que surgem naturalmente) ainda vão exigir zoneamento normal.
Se esse zoneamento for removido ou alterado, qualquer edifício afetado que não tenha sido colocado manualmente será declarado condenado e marcado para demolição."
"Options.GROUP:Historical","Make historical"
"Options.OPTION[MakePloppedHistorical]","Make buildings historical when plopped"
"Options.OPTION_DESCRIPTION[MakePloppedHistorical]","Automatically make historical any growable building that is manually placed (plopped) while this setting is active."
"Options.GROUP:ApplyToExisting","Aplicar em edifícios existentes"
"Options.OPTION:AllBuildingsHistorical","Make all existing buildings historical"
"Options.OPTION_DESCRIPTION:AllBuildingsHistorical","Immediately make all existing growable buildings historical.  This does NOT affect any buildings placed or spawned after this button is pressed."
"Options.OPTION:RemoveAllHistorical","Make all existing buildings non-historical"
"Options.OPTION_DESCRIPTION:RemoveAllHistorical","Immediately make all existing growable buildings non-historical.  This does NOT affect any buildings placed or spawned after this button is pressed."
"Options.OPTION:RemoveAllAbandonment","Remover abandono de todos os edifícios existentes"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Remove o abandono de todos os edifícios autogerados existentes. Isso NÃO afeta edifícios colocados ou gerados após este botão ser pressionado."
