"Options.SECTION:[algernon.PlopTheGrowables]","Postavi rastuće zgrade"
"Options.GROUP:Locking","Zaključavanje nivoa"
"Options.OPTION:LockPloppedBuildings","Zaključati nivoe zgrade kada je postavljena"
"Options.OPTION_DESCRIPTION:LockPloppedBuildings","Automatski primeni zaključavanje nivoa bilo koje rastuće zgrade koja je ručno postavljena dok je ova postavka aktivna."
"Options.OPTION:NoAbandonment","Isključi napuštanje objekta"
"Options.OPTION_DESCRIPTION:NoAbandonment","Spreči zgrade da budu napuštene. Ova opcija NE utiče na zgrade koje su već napuštene."
"Options.OPTION:DisableLevelling","Isključi SVE moguće promene na zgradama"
"Options.OPTION_DESCRIPTION:DisableLevelling","Sprečava SVE zgrade da menjaju svoje nivoe, dakle zadržavaju svoj izgled."
"Options.GROUP:ApplyToExisting","Primeni na postojeće zgrade"
"Options.OPTION:LockAllBuildings","Zaključaj nivoe zgrada za sve postojeće zgrade"
"Options.OPTION_DESCRIPTION:LockAllBuildings","Odmah primeni zaključavanje nivoa za sve postojeće zgrade. Ova opcija NE utiče na zgrade koje su postavljene ili izgradjene nakon što je ovo dugme aktivirano."
"Options.OPTION:UnlockAllBuildings","Otključaj nivoe zgrada za sve postojeće zgrade"
"Options.OPTION_DESCRIPTION:UnlockAllBuildings","Odmah ukloni zaključavanje nivoa za sve postojeće zgrade. Ova opcija NE utiče na zgrade koje su postavljene ili izgradjene nakon što je ovo dugme aktivirano."
"Options.OPTION:RemoveAllAbandonment","Ukloni mogućnost napuštanja svih postojećih zgrada"
"Options.OPTION_DESCRIPTION:RemoveAllAbandonment","Odmah ukloni napuštanje svih postojećih zgrade. Ova opcija NE utiče na zgrade koje su postavljene ili izgradjene nakon što je ovo dugme aktivirano."
"PLOPTHEGROWABLES.LockLevel","Zaključaj nivo zgrade"
"PLOPTHEGROWABLES_DESCRIPTION.LockLevel","Ako je ovo postavljeno, onda će zgrada biti sprečena da menja svoje nivoe i sačuvaće svoj izgled nepromenjena."
